,PASSENGERS,Passenger Miles,CARRIER_NAME-ORIGIN_CITY_NAME-DEST_CITY_NAME
274,355721,463504463,"American Airlines Inc.-Dallas/Fort Worth, TX-Philadelphia, PA Total Total"
275,355714,122721330,"Southwest Airlines Co.-Las Vegas, NV-Reno, NV Total Total"
276,355694,122714430,"Southwest Airlines Co.-Reno, NV-Las Vegas, NV Total Total"
277,355541,513401204,"Southwest Airlines Co.-Phoenix, AZ-Chicago, IL Total Total"
278,355456,147158784,"United Air Lines Inc.-San Francisco, CA-Las Vegas, NV Total Total"
279,355445,193011530,"US Airways Inc.-New York, NY-Charlotte, NC Total Total"
280,354631,209232290,"Delta Air Lines Inc.-Los Angeles, CA-Salt Lake City, UT Total Total"
281,353619,130485411,"Southwest Airlines Co.-Baltimore, MD-Boston, MA Total Total"
282,353608,240100632,"Alaska Airlines Inc.-Seattle, WA-San Francisco, CA Total Total"
283,353334,147340278,"Southwest Airlines Co.-San Diego, CA-San Jose, CA Total Total"
284,352611,130113459,"Southwest Airlines Co.-Boston, MA-Baltimore, MD Total Total"
285,352492,378280518,"Delta Air Lines Inc.-New York, NY-Fort Lauderdale, FL Total Total"
286,351710,70342000,"United Air Lines Inc.-Newark, NJ-Boston, MA Total Total"
287,350937,146340729,"Southwest Airlines Co.-San Jose, CA-San Diego, CA Total Total"
288,350474,376116752,"Delta Air Lines Inc.-Fort Lauderdale, FL-New York, NY Total Total"
289,350212,184211512,"Delta Air Lines Inc.-Pittsburgh, PA-Atlanta, GA Total Total"
290,349898,237581537,"Alaska Airlines Inc.-San Francisco, CA-Seattle, WA Total Total"
291,347429,687561991,"Delta Air Lines Inc.-Los Angeles, CA-Detroit, MI Total Total"
292,346964,218934284,"American Airlines Inc.-Nashville, TN-Dallas/Fort Worth, TX Total Total"
293,346774,550330338,"Delta Air Lines Inc.-Atlanta, GA-Phoenix, AZ Total Total"
294,345797,139061867,"JetBlue Airways-Washington, DC-Boston, MA Total Total"
295,345571,288206214,"Alaska Airlines Inc.-Portland, OR-Los Angeles, CA Total Total"
296,345327,138830979,"JetBlue Airways-Boston, MA-Washington, DC Total Total"
297,344816,205465088,"Southwest Airlines Co.-Washington, DC-Chicago, IL Total Total"
298,344720,216484160,"Southwest Airlines Co.-Denver, CO-Las Vegas, NV Total Total"
299,344361,825777678,"United Air Lines Inc.-San Francisco, CA-Honolulu, HI Total Total"
300,342665,139464655,"Southwest Airlines Co.-Las Vegas, NV-Oakland, CA Total Total"
301,342153,84853944,"Southwest Airlines Co.-San Antonio, TX-Dallas, TX Total Total"
302,341822,542471514,"Delta Air Lines Inc.-Phoenix, AZ-Atlanta, GA Total Total"
303,341556,64554084,"Southwest Airlines Co.-Austin, TX-Dallas, TX Total Total"
304,341444,284764296,"Alaska Airlines Inc.-Los Angeles, CA-Portland, OR Total Total"
305,340603,234675467,"Delta Air Lines Inc.-Salt Lake City, UT-Seattle, WA Total Total"
306,340560,179134560,"Delta Air Lines Inc.-Atlanta, GA-Pittsburgh, PA Total Total"
307,340463,138568441,"Southwest Airlines Co.-Oakland, CA-Las Vegas, NV Total Total"
