"PASSENGERS","UNIQUE_CARRIER","ORIGIN_AIRPORT_ID","ORIGIN","DEST_AIRPORT_ID","DEST",
0.00,"FX",13244,"MEM",16271,"YYZ",
0.00,"FX",16042,"YEG",13244,"MEM",
0.00,"FX",16128,"YMX",12339,"IND",
0.00,"FX",16128,"YMX",13244,"MEM",
0.00,"FX",16149,"YOW",10792,"BUF",
0.00,"FX",16229,"YVR",13244,"MEM",
0.00,"FX",16232,"YWG",11637,"FAR",
0.00,"FX",16232,"YWG",12339,"IND",
0.00,"FX",16232,"YWG",13244,"MEM",
0.00,"FX",16257,"YYC",12003,"GTF",
0.00,"FX",16257,"YYC",13244,"MEM",
0.00,"FX",16271,"YYZ",11618,"EWR",
0.00,"FX",16271,"YYZ",12339,"IND",
0.00,"FX",16271,"YYZ",13244,"MEM",
0.00,"FX",10711,"BOG",13244,"MEM",
0.00,"FX",10732,"BQN",15567,"VCP",
0.00,"FX",11874,"GDL",13244,"MEM",
0.00,"FX",12278,"ICT",15210,"TIJ",
0.00,"FX",13244,"MEM",10711,"BOG",
0.00,"FX",13244,"MEM",11874,"GDL",
0.00,"FX",13244,"MEM",13514,"MTY",
0.00,"FX",13244,"MEM",16477,"QRO",
0.00,"FX",13244,"MEM",15210,"TIJ",
0.00,"FX",13244,"MEM",15246,"TLC",
0.00,"FX",13244,"MEM",15567,"VCP",
0.00,"FX",13303,"MIA",13306,"MID",
0.00,"FX",13514,"MTY",13244,"MEM",
0.00,"FX",14838,"SJO",13244,"MEM",
0.00,"FX",15246,"TLC",13244,"MEM",
0.00,"FX",15567,"VCP",10732,"BQN",
0.00,"FX",15567,"VCP",13244,"MEM",
0.00,"FX",10920,"CDG",11618,"EWR",
0.00,"FX",10920,"CDG",12339,"IND",
0.00,"FX",10920,"CDG",13244,"MEM",
0.00,"FX",10970,"CGN",13244,"MEM",
0.00,"FX",11760,"FRA",13244,"MEM",
0.00,"FX",12339,"IND",10920,"CDG",
0.00,"FX",12339,"IND",15018,"STN",
0.00,"FX",12892,"LAX",10920,"CDG",
0.00,"FX",12957,"LGG",13244,"MEM",
0.00,"FX",13244,"MEM",10920,"CDG",
0.00,"FX",13244,"MEM",10970,"CGN",
0.00,"FX",13244,"MEM",11455,"DXB",
0.00,"FX",13244,"MEM",15018,"STN",
0.00,"FX",13560,"MXP",13244,"MEM",
0.00,"FX",15018,"STN",12339,"IND",
0.00,"FX",15018,"STN",13244,"MEM",
0.00,"FX",10299,"ANC",10877,"CAN",
0.00,"FX",10299,"ANC",12143,"HKG",
